Taxonomy_ID,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
Firmicutes_Tenericutes_520,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Solibaculum,Solibaculum mannosilyticum,,Solibaculum mannosilyticum
Firmicutes_Tenericutes_529,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,,,,Oscillospiraceae
Firmicutes_Tenericutes_530,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus bovis,,Ruminococcus bovis
Firmicutes_Tenericutes_533,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Ethanoligenens,Ethanoligenens harbinense,,Ethanoligenens harbinense
Firmicutes_Tenericutes_535,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,,Faecalibacterium prausnitzii
Firmicutes_Tenericutes_538,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,,Faecalibacterium prausnitzii
Firmicutes_Tenericutes_543,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,,Faecalibacterium prausnitzii
Firmicutes_Tenericutes_548,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,,Faecalibacterium prausnitzii
Firmicutes_Tenericutes_551,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,,Faecalibacterium prausnitzii
Firmicutes_Tenericutes_554,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,,,,Oscillospiraceae
Firmicutes_Tenericutes_555,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus bicirculans,,Ruminococcus bicirculans
Firmicutes_Tenericutes_557,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,,,Ruminococcus
Firmicutes_Tenericutes_564,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,,Intestinimonas,Intestinimonas butyriciproducens,,Intestinimonas butyriciproducens
Firmicutes_Tenericutes_566,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,,Flintibacter,Flintibacter sp. KGMB00164,,Flintibacter sp. KGMB00164
Firmicutes_Tenericutes_569,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Vescimonas,Vescimonas fastidiosa,,Vescimonas fastidiosa
Firmicutes_Tenericutes_570,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Vescimonas,,,Vescimonas
Firmicutes_Tenericutes_572,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Dysosmobacter,Dysosmobacter welbionis,,Dysosmobacter welbionis
Firmicutes_Tenericutes_575,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,,,,,Eubacteriales
Firmicutes_Tenericutes_597,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,,,,,Eubacteriales
Firmicutes_Tenericutes_613,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Christensenellaceae,Christensenella,Christensenella minuta,,Christensenella minuta
Firmicutes_Tenericutes_614,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Christensenellaceae,Christensenella,Christensenella sp. Marseille-P3954,,Christensenella sp. Marseille-P3954
Firmicutes_Tenericutes_662,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium chauvoei,,Clostridium chauvoei
Firmicutes_Tenericutes_878,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Peptostreptococcaceae,Romboutsia,Romboutsia sp. CE17,,Romboutsia sp. CE17
Firmicutes_Tenericutes_907,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,Mogibacterium,Mogibacterium diversum,,Mogibacterium diversum
Proteobacteria_5642,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Lawsonia,Lawsonia intracellularis,Lawsonia intracellularis PHE/MN1-00,Lawsonia intracellularis PHE/MN1-00
Proteobacteria_9625,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,,,Sutterella
Actinobacteria_415,Bacteria,Actinobacteria,Terrabacteria group,Coriobacteriia,Eggerthellales,Eggerthellaceae,Denitrobacterium,Denitrobacterium detoxificans,,Denitrobacterium detoxificans
Actinobacteria_441,Bacteria,Actinobacteria,Terrabacteria group,,,,,,,Terrabacteria group
Bacteroidetes_521,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii,,Bacteroides eggerthii
Bacteroidetes_533,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,,Bacteroides uniformis
Bacteroidetes_542,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,,Phocaeicola vulgatus
Bacteroidetes_544,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,,Phocaeicola vulgatus
Bacteroidetes_550,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,,,Phocaeicola
Bacteroidetes_670,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprophilus,,Phocaeicola coprophilus
Bacteroidetes_761,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,,Bacteroides ovatus
Bacteroidetes_766,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,,Bacteroides ovatus
Firmicutes_Tenericutes_1013,Bacteria,Firmicutes,Terrabacteria group,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,,Megasphaera elsdenii
